name ,category ,deadline ,goal ,pledged ,status,backers ,
Smart Dive Buddy: Smartphone Dive Camera & Computer,Hardware,26/7/2014 7:50,15000,3877,failed,34,
GoalZidia | Let's Reach Our Goals Together,Web,23/4/2015 22:01,18000,410,failed,4,
FREE SUPERCOMPUTER,Software,11/11/2014 8:44,98000,1,failed,1,
Esquilo: Simple IoT Development - WiFi + Web IDE + Cloud,DIY Electronics,10/6/2015 15:52,10000,23447,successful,298,
LDS Home Teaching App (Visiting Teaching Too),Apps,17/10/2014 15:36,45000,895,failed,71,
Fritz: A Robotic Puppet,Technology,1/5/2013 5:25,25000,41136.55,successful,236,
Zen-Tek Aquaponics- runs on air,Technology,13/9/2015 4:01,10000,1245,failed,6,
Turn your messy Arduino projects into a clean design for 2$,DIY Electronics,8/2/2016 18:48,1000,3035,successful,88,
Write my Estimate - have your estimate written anywhere!,Apps,28/11/2015 0:32,10000,0,failed,0,
SparkLab: the educational build-mobile!,Hardware,24/3/2012 5:00,25000,31275.6,successful,426,
Phochron XA Film Camera Shutter Speed Tester,Camera Equipment,17/11/2016 22:40,8500,16998,successful,135,
Seeker Aerial Video Drone,Camera Equipment,20/11/2014 15:54,20000,5043,failed,10,
Quikceipt! Paperless Solutions,Apps,31/8/2014 20:55,150000,50,failed,1,
Spycup turns your iPhone into a hidden camera (Canceled),Gadgets,19/12/2015 17:26,5000,6672,canceled,115,
New Social Network,Web,15/11/2014 0:10,5000,0,failed,0,
RinseKit: The Revolutionary Portable Shower,Gadgets,3/6/2016 19:27,30000,396299,successful,2412,
Knot App,Apps,8/4/2016 3:38,4860,0,failed,0,
Air.Air! ~ Portable Air Quality Detector,Technology,20/10/2013 15:26,20000,21613.47,successful,292,
Pocket Parking Meter,Apps,26/2/2015 17:46,4000,7,failed,3,
Vyu360™ 4K ProCam,Camera Equipment,15/11/2016 20:50,9000,30126,successful,164,
Wireless Touchpad for Console Gaming Controllers (Canceled),DIY Electronics,14/8/2014 18:13,100000,162,canceled,3,
Desktop CNC Compact Mill & Drill (Canceled),Gadgets,10/5/2015 20:19,65000,175,canceled,3,
EZ-CARSEAT making child car seats EZ (Canceled),Fabrication Tools,30/6/2016 20:00,60000,446,canceled,21,
TeslaTronix- Tesla Power For The Masses,Hardware,7/3/2013 1:27,2500,38946.01,successful,463,
Lightbook (Canceled),Hardware,27/7/2015 22:37,80000,0,canceled,0,
Inhale Sunrises.,Web,14/4/2015 7:00,250000,0,failed,0,
Zombie USB Keychain (Zed 1.0),Technology,26/7/2012 1:16,5000,5060,successful,172,
FlowPaw : Learn computer coding by building your own gizmos,Technology,20/11/2014 23:33,19500,20970,successful,145,
Ion: A Music Detecting Mood Light with Bluetooth Low Energy,Hardware,1/5/2014 17:55,20000,74026,successful,405,
LittleRP - Affordable Flexible Open 3D Resin Printer,3D Printing,10/9/2014 17:03,25000,118923.5,successful,290,
Models & Me © : The App (Canceled),Apps,30/1/2016 19:42,1500,0,canceled,0,
Dineamics,Apps,28/4/2015 18:00,1000,35,failed,3,
51st Studios Unplugged: Wood Headphones featuring Bluetooth,Hardware,8/5/2014 22:09,60000,45687.01,failed,108,
Chris Custom Built PC's,Gadgets,4/4/2015 2:49,7000,0,failed,0,
REDS.box - Get your privacy back in the cloud,Hardware,18/2/2016 12:01,50000,33916,failed,209,
NAMM Marketing -keeping up with the big dogs,Sound,26/6/2014 1:59,2800,545,failed,11,
The Green Lamp Prototype (Canceled),Hardware,4/10/2015 19:06,500,0,canceled,0,
Bocusini - World's first plug & play 3D Food Printing System,3D Printing,11/6/2015 9:42,30000,40581,successful,149,
Aivot,Wearables,27/1/2017 23:23,72083,200,live,3,
The 1st Motion Tracking DIY Smart Home Security Camera,Gadgets,31/12/2016 3:54,25000,58978,live,397,
Telemedicine wound care provider locator,Technology,9/10/2016 0:22,50000,261,failed,5,
"Multi-function kids chair with a ""one for one"" concept.",Gadgets,10/12/2016 22:49,125000,16,live,1,
wecemat – The ecologic automated flush adapter,Technology,23/7/2016 14:07,40000,7750,failed,26,
"eyeForce VR Headset, no black parts, 210° field of view",Technology,4/10/2016 9:58,50000,48907,canceled,79,
Launch Alligator Bites and Open Wide to Possibility!,Software,8/5/2010 5:59,7000,2002,failed,42,
Solecon Buy.Sell.Trade,Apps,5/9/2015 22:40,55000,0,failed,0,
The Sleep Sensei - Fall Asleep Faster Without Medication,DIY Electronics,16/12/2014 6:59,25000,2666,failed,57,
World's first wirelessly charged earbuds,Hardware,26/5/2016 9:00,50000,172228,successful,1068,
Polar - The First Do-It-All Social and Business Meeting App,Apps,27/8/2016 20:48,30000,1,failed,1,
The Voting App - It's in YOUR hands!,Apps,11/6/2014 18:11,50000,7697,failed,85,
SnoMat,Technology,8/10/2014 20:14,20000,15,failed,2,
Insteeter.com,Web,11/2/2016 20:12,8000,0,failed,0,
The World's First App to Make Beach Goers Dreams Come True!,Apps,25/4/2016 18:27,36779,6144,canceled,49,
Let the Sun Shine In...Always & Forever with Sun LifeLight!,Hardware,9/7/2014 17:05,150000,7333,failed,20,
SandBoxCheck: Testing Malware Analysis Tools,Technology,30/11/2014 22:09,50000,11,failed,2,
The EZ CYCLING SYSTEM Refreshes Your Old Water Supply,Fabrication Tools,19/10/2016 1:29,3000,4205,successful,84,
RRED: navigation révolutionnaire / revolutionary navigation,Gadgets,9/3/2016 8:27,25000,2231,failed,40,
Plans,Apps,17/1/2017 19:58,15000,436,live,12,
Car Wheel Lights With Your Logo & Future Smartphone Apps,Technology,25/12/2013 20:01,100000,12133,failed,38,
JuJube : the Frasier Crane for your text messages,Software,16/10/2016 15:23,25000,0,failed,0,
MAKEatx : a digital fabrication workshop,Hardware,6/3/2011 6:42,5000,5843,successful,58,
BirthdayBrain goes global! - Promotion of our Android-App,Apps,27/11/2016 20:15,10000,2,failed,2,
Faraday Kit: Learn by Making (Canceled),Hardware,11/6/2015 16:26,96485,85017,canceled,310,
Remedy Resolutions,Apps,25/7/2014 20:44,4500,4566,successful,47,
The Electron: Cellular dev kit with a global data plan,DIY Electronics,2/4/2015 0:00,30000,578478.33,successful,5564,
STEMTera Breadboard - Arduino compatible built-in breadboard,DIY Electronics,28/10/2016 12:31,35000,67408,successful,1023,
Mobileproximity (Canceled),Flight,5/4/2015 20:23,285000,0,canceled,0,
Additale - Worldwide Progressive Story (Canceled),Technology,27/12/2013 3:30,200,0,canceled,0,
Safe Survival of Common Natural Emergencies,Hardware,8/4/2015 22:34,20000,0,failed,0,
Room: The Evolution of Social Media,Apps,20/7/2015 20:49,12000,0,failed,0,
Öltester,Fabrication Tools,3/7/2016 10:21,85000,970,failed,23,
Transparent Lawmaking Forum,Technology,8/4/2012 5:59,91000,261,failed,12,
3D Bean™ | Lifelike Fine 3D Photo Figurines of Yourself,3D Printing,22/11/2014 19:54,20000,13020,failed,40,
Parametric Ceiling Object Tool for ARCHICAD,Apps,23/7/2016 0:59,10150,11560,successful,31,
"Insurance Snoopers, Inc. (iSi)",Software,9/12/2014 23:50,4400,4502,successful,32,
Mobile Excellence Awards (Canceled),Web,8/1/2016 20:47,10000,300,canceled,1,
"Stylizer Vsti ""Virtual Music Arranger""",Software,25/3/2014 18:15,35000,1380,failed,13,
Open Source 5 axis CNC Router & Plasma Machine Plans 5'x10',Technology,7/4/2011 21:45,16500,2072,failed,66,
iRoo,Technology,12/7/2013 18:02,7500,400,failed,4,
Seven Channel Graphic Equalizer Breakout Board for Arduino,DIY Electronics,4/7/2014 2:57,1000,2780,successful,120,
"Edge Goalkeeping, a new approach to goalkeeper gloves",Wearables,4/4/2015 1:30,2500,346,failed,8,
The Art of PHP and MySQL Programming,Software,11/9/2015 1:45,3000,435,failed,21,
MyCubeSat.com,Space Exploration,18/8/2015 3:48,100,135,successful,6,
Objects,Software,5/12/2013 20:21,20000,280,failed,14,
"The dime-sized FemtoBeacon - Wireless IMU, ARM Cortex M0+",Hardware,11/6/2015 19:30,500,3801,successful,37,
University of Louisville NASA Student Launch 2013-2014,Technology,3/4/2014 4:11,1500,2313,successful,60,
HARP Sounding Rocket,Hardware,3/2/2012 22:10,75000,280,failed,9,
Squbo,Technology,27/8/2014 21:37,10000,0,failed,0,
The Creation Station Open Source CNC Router,Fabrication Tools,2/8/2014 2:00,80000,150986,successful,202,
The WaterSwitch™ - Water Damage Prevention and Conservation,Technology,25/5/2013 1:04,100000,1892,failed,5,
Foneeyes,Gadgets,4/6/2016 16:45,500,76,failed,5,
A Beautiful New Blue Gem!,Wearables,13/4/2016 23:23,22500,3194,failed,35,
Cord Cuffs! This is the name that will be industry standard!,Technology,9/3/2016 16:49,100000,391,canceled,28,
RapidDisk (rxdsk): An Advanced Linux RAM Disk Module,Software,5/5/2011 20:47,2500,136,failed,7,
"NODE Chroma, a wireless color scanner for iOS and computers",Hardware,8/12/2012 2:00,15000,39473.14,successful,273,
Skhy Zye - What Virtual Visit Truly Means,Software,12/10/2016 17:31,50000,1,failed,1,
The Vision : Not Just a 3D Printer... A DREAM,Hardware,28/6/2012 8:20,25000,65346,successful,81,
LinkUP! App for Business Professionals to meet,Software,13/8/2015 0:01,50000,0,failed,0,
4-stage installation free Reverse Osmosis water purifier,Technology,23/9/2016 12:27,40000,9966,canceled,32,
Memri - An intuitive App designed with couples in mind,Apps,25/11/2016 6:00,4000,0,failed,0,
Pitch in for the 17 ft tall world record Qubits® tower.,Makerspaces,25/12/2016 18:34,2500,117,live,2,
Plug-n-Play 3D printing attachment for CNC Mills,3D Printing,17/10/2015 7:00,36500,2676,failed,12,
Ransomware immunizer,Software,15/10/2016 11:57,10500,762,failed,7,
AccelerRaiser,Web,7/3/2015 2:23,50000,0,failed,0,
bookwormz.co.uk,Web,5/11/2015 11:01,50000,2654,failed,12,
Mega Project: A FUTURE Without Chemicals and Healthy Food.,Technology,31/10/2015 18:59,250000,75,canceled,2,
Mikeze - The E-life Manager,Apps,22/4/2015 6:04,13000,430,failed,8,
Banded Together (Canceled),Apps,6/4/2015 3:38,175000,1,canceled,1,
Voter-Ed.com,Web,12/8/2015 19:02,25000,43,failed,2,
Freddy's List - The Complete Marine Classifieds,Web,16/7/2016 19:20,4700,0,failed,0,
RapidDisk LX 2.0: an iSCSI Target Linux Distribution,Software,21/10/2012 0:23,2500,929.66,failed,27,
Hesting Power Turbine,Hardware,29/9/2014 15:44,5000,100,failed,1,
TWYN SYSTEM,Technology,6/3/2015 19:02,20000,1439,failed,26,
RC Drone,Flight,6/5/2015 18:55,200,50,failed,2,
Self Replicating Blocks,Hardware,28/12/2013 9:59,6000,216,failed,7,
Universal PWM Controller Kit,DIY Electronics,27/8/2014 18:02,500,115,failed,10,
TireBuddy,Hardware,25/11/2013 14:18,1800,11,failed,2,
Bar/Bat Mitzvah Training,Web,12/9/2014 18:59,25000,0,failed,0,
The cover startup!,3D Printing,15/8/2015 17:31,2000,36,failed,2,
THE NEXT BIG SOCIAL NETWORK -    MY PRYME (Canceled),Web,20/9/2014 5:16,55000,201,canceled,4,
"RevoCases, We See Charging Differently (Canceled)",Gadgets,8/2/2015 20:24,10000,2276,canceled,24,
History Through VR,Apps,30/7/2016 18:38,55000,150,failed,2,
IllumiBowl Clip-On Toilet Night Light (Motion Activated),Gadgets,27/11/2014 6:06,20000,95399,successful,3297,
Beauty Salon Owner Tool,Apps,26/10/2014 14:08,50000,10,failed,1,
"Showt app""Putting the Social back in social media""",Technology,9/4/2015 23:48,20000,0,failed,0,
FoldiMate: The Robotic Laundry Folding Machine,Technology,7/7/2013 18:59,250000,11818,failed,21,
From Photo to Table--Relaunch,Web,10/6/2014 21:34,8000,705,failed,23,
Robotics Competition and WiFi Radix Receiver for RC Vehicles,Robots,15/11/2014 22:39,70000,744,failed,8,
Blue Buddy. Professional Counseling,Apps,21/1/2015 5:59,18000,10,failed,1,
MyTree Networking Site - Paint the Portrait of Your Life,Web,7/8/2014 18:43,135000,52,failed,6,
Iconic Wildflowers of the National Parks,Technology,20/5/2012 7:36,7000,373,failed,7,
Project is cancelled !!! (Canceled),Software,7/1/2016 23:06,10000,0,canceled,0,
Pressure Gas Lantern Reflective Globe,Technology,16/9/2015 20:27,20000,73,failed,3,
Why are you waiting? Spend Less Time in Line!,Apps,17/10/2014 19:46,10000,0,failed,0,
Helpeddle,Technology,14/6/2015 19:57,210000,46,failed,6,
Cmoar Virtual Reality Headset with integrated electronics,Hardware,30/3/2015 20:31,100000,120249,successful,539,
Affinity mobile app/site:  Nut/Peanut-Free,Apps,20/10/2014 6:59,25000,216,failed,9,
Broadcast your event live online with a network TV look,Technology,24/9/2014 12:35,47000,0,failed,0,
"""Bity"" - Bitcoin app for iOS",Technology,29/6/2014 2:14,7000,5,failed,1,
if... Pen,Gadgets,29/7/2016 16:00,65000,32383,failed,227,
VIVID SSD: Ultra Fast & Portable Solid State Drive in Colour,Gadgets,17/1/2016 13:00,20000,26708,successful,75,
Meemoes: no cost fix for global warming and the environment.,Web,16/9/2014 4:55,70000,11,failed,2,
Bicycle Disc Brake Tab Attachment Fixture/jig,Fabrication Tools,22/3/2015 17:00,2500,1005,failed,6,
EyeSpeak: Beyond Communication,Wearables,16/7/2014 12:36,115000,128181.89,successful,658,
Solar Sound - A speaker powered by the sun,Sound,11/3/2015 21:21,1000,15,failed,3,
Novlr. Novel writing. Simply.,Software,7/10/2014 21:32,20000,8873.77,failed,151,
1/10 custom RC charity project,DIY Electronics,3/8/2014 19:23,300,162,failed,5,
Blipper Bands - Safety wherever you go! - GPS Tracking Band,Gadgets,11/6/2015 23:49,100000,5066,failed,34,
Beginning Our First Business Right (Canceled),Technology,16/12/2014 23:43,800,0,canceled,0,
The Museum Of Camp,Web,24/12/2014 16:49,12500,0,failed,0,
iPin™: Laser Pointer + Wireless Presenter for iOS & Android,Technology,10/2/2015 8:59,50000,22064,canceled,448,
ZED emergency,Apps,18/12/2015 1:00,500000,531,failed,4,
Mobile App Application mobile So-ÜDRIV sharing community,Apps,2/12/2016 9:25,20000,20,canceled,1,
GPS for ADHD,Technology,27/9/2014 16:02,75000,180,failed,5,
Asain Carp to Hydroponic Fertilizer / Animal Feed Supplement,Technology,12/4/2015 22:28,190000,0,failed,0,
Orin Acute Universal Joint And Inot Ball Lock,Gadgets,8/5/2015 9:00,1000,80,failed,5,
CySec - Alliance Website,Technology,30/6/2015 13:49,200,1,failed,1,
EMBER wear Ski and Snow Sport Heated Gloves and Mittens,Wearables,10/1/2016 1:00,20000,2550,failed,23,
Dexmo: an exoskeleton for you to touch the digital world,Robots,23/11/2014 21:59,200000,55165,canceled,368,
Paperless Daily Operations & Jumpstart App/Portal,Apps,7/5/2016 22:17,100000,0,failed,0,
NIKKA - Your Digital Strongbox for Smart Security,Hardware,24/11/2014 21:00,30000,1256,failed,9,
Just Cool Me (Canceled),Web,4/5/2015 22:17,25000,0,canceled,0,
Shop Pockets Utility Tool Vest - Change the way you work!,Wearables,4/5/2015 15:17,50000,806,failed,6,
Krimson Titan Customs: Project Onyx (Canceled),3D Printing,5/9/2015 17:32,1200,0,canceled,0,
Waterless Glass Aquariums with 3D Printed Ocean Atmosphere,3D Printing,16/3/2016 1:24,75000,2,failed,2,
University thesis on social innovation (app creation),Apps,23/8/2015 16:29,4000,147,failed,27,
Ranch Hand Drone,Robots,29/11/2014 20:32,4000,1,failed,1,
IT-Business Analytics Platform,Software,6/6/2015 21:55,250000,0,failed,0,
Shiny Fun LED Hula Hoops!!!,Hardware,24/5/2013 17:14,6000,550,failed,2,
Help fund the Vintage Computer Festival Southeast 2.0!,Technology,4/5/2014 23:00,2000,3414,successful,63,
"eNNOTATE - Change the way you Read, Annotate and Collaborate",Software,2/12/2016 5:00,5000,2047,failed,41,
{BIO}CIETY - How will you be remembered?,Technology,6/3/2014 22:30,20000,38,failed,5,
Coding School,Software,15/8/2014 1:53,13500,0,failed,0,
PFSecurity,Software,18/12/2016 1:53,1850000,0,live,0,
How to Make a Freaking Apple Watch App - Using Swift iOS 8,Apps,2/12/2014 7:59,20000,21212,successful,427,
CLAUDE | The table leg with a stereo and LED lights built-in,Technology,10/5/2016 14:29,25000,827,failed,26,
ScratchJr: Coding for Young Kids,Technology,30/4/2014 12:45,25000,77474.74,successful,1384,
Airdrop Water Distiller,Hardware,6/2/2015 0:21,10000,1,failed,1,
XY - The secure iOS/Android Bluetooth tracking tag,Technology,21/4/2014 6:00,45000,205121.59,successful,4091,
SurfEasy | Plug in Privacy,Technology,19/9/2011 15:24,12500,69404.13,successful,1093,
Social behavior in technical communities,Wearables,27/7/2014 17:27,4000,65,failed,5,
LinkX - students hiring students,Makerspaces,20/3/2016 15:04,100000,31,failed,4,
Sympic,Web,25/2/2015 22:07,3000,2,failed,2,
HI,Apps,27/4/2015 18:59,10000,70,failed,4,
We Love Your Pets and People at FacesByPlaces.com,Web,4/10/2014 4:03,20000,0,failed,0,
Rotary combustion engine,Fabrication Tools,24/5/2016 23:39,17000,115,failed,6,
Proven Reality,Technology,1/10/2015 1:00,100000,253,failed,6,
Pixel Shades by R A V E Z (Canceled),Wearables,11/7/2014 18:00,5800,876,canceled,9,
GiftPrompt Mobile App,Apps,27/4/2016 17:25,6000,2,failed,2,
Raven Bicycle Registry Smartphone Security System,Technology,12/12/2013 8:52,36500,4736,failed,33,
Street Name Register (Canceled),Technology,11/2/2015 2:33,4500,0,canceled,0,
Roll out zebra crossing,Technology,10/8/2015 8:28,1500,20,failed,2,
Stoofer - Meme Social Network,Web,16/11/2016 17:20,20250,0,canceled,0,
Tailwind - Affordable Smart Home Automation Made Simple,Gadgets,6/1/2016 18:52,125000,4698,failed,55,
3Doodler: The World's First 3D Printing Pen,Hardware,25/3/2013 5:08,30000,2344134.67,successful,26457,
Mule Light V2 - The Only Flashlight You Will Ever Need,Technology,17/4/2016 18:50,150000,158455,successful,1537,
Sexy Suitcase,Sound,8/6/2015 13:29,2000,0,failed,0,
Drive with Lynk,Technology,2/6/2013 9:49,750000,81060.67,failed,945,
Carin Wear: No more leaks - control your bladder again,Wearables,29/6/2016 15:02,15000,16087,successful,57,
Socialize,Web,20/12/2015 17:08,60000,0,failed,0,
UNIVERSAL PHONE LEASH (Canceled),Hardware,22/5/2016 10:17,10000,6,canceled,2,
Maqoo ||  Underwear Revolution,Wearables,27/8/2015 15:01,10000,20848,successful,215,
MommySwap.com (A Unique Childcare Solution),Web,30/3/2015 16:50,10000,200,failed,7,
Daymak Photon Scooter,Hardware,27/7/2015 18:10,30000,35288.5,successful,68,
Personal Handyman: Mobile on the go home repair (Canceled),Apps,6/6/2015 11:14,4500,0,canceled,0,
Wefre - Free Unlimited Music (Canceled),Apps,14/2/2016 17:40,3000,423,canceled,23,
Romoss Powerful Charger Station for Family and Business,Gadgets,2/7/2016 15:00,30000,14085,failed,89,
Warmin  - first ceramic dish set for induction surfaces,Technology,24/3/2016 19:10,62000,250,failed,6,
siemless,Web,20/6/2015 21:44,5000,610,failed,7,
"Ocutask | Real Projects, Real Time.",Apps,5/9/2015 23:00,25000,500,failed,1,
CrITR 5i Modular Protective Case for iPhone,Camera Equipment,26/6/2014 16:03,30000,1116,failed,14,
iHeartNote - Open Your Heart - The Art of Appreciation,Technology,10/3/2014 19:02,52700,300,failed,5,
Nano Ninjas CLASS - FLL Project,Robots,16/1/2015 8:59,500,1304,successful,51,
Party finding app that will change the game forever,Apps,10/10/2015 21:05,10000,0,failed,0,
OpenAudioPal,Sound,3/7/2014 17:11,15000,150,failed,1,
Start connecting with other creatives online today!,Technology,13/3/2016 20:17,4000,396,failed,12,
"The SpaceBunker Project - space, science, maths, STEM",Space Exploration,8/4/2015 19:55,1400,945,failed,32,
Wearsafe: Wearable technology on a mission to save lives,Wearables,20/8/2015 16:50,75000,106084.5,successful,1107,
ECO~FRIG (Canceled),Hardware,4/1/2014 1:18,101000,115,canceled,3,
Inno.vote - Secure Mobile Voting for America (Canceled),Software,9/7/2016 22:21,50000,3646,canceled,44,
Servnote - Multipurpose Notebook App with Encryption,Apps,1/1/2017 8:59,10000,127,live,1,
Team 6040: GetoBotics,Robots,29/2/2016 20:24,500,591,successful,5,
CNC / 3D-Printer / Laser.. for everyone! EN/DE,Fabrication Tools,11/2/2016 12:41,800,461,failed,46,
ST Drivers,Apps,26/9/2014 3:28,30000,0,failed,0,
Snoozy - The Charity Alarm Clock App,Apps,26/3/2015 18:10,7000,963,failed,22,
TutYourSelf - Eine Plattform für Tutorien und Tutorials,Apps,20/8/2015 19:39,12000,0,failed,0,
LANTERN: The Ultimate Multifunctional Light!,Technology,24/6/2016 18:23,30000,30628.6,successful,192,
Voice-Net,Software,11/6/2015 8:22,5000,10,failed,1,
Career Matchmaker & Job Searching app,Apps,10/11/2015 4:06,50000,0,failed,0,
The Verve Academy,Technology,7/8/2015 23:02,5000,5141,successful,84,
Team AREND Wildlife Conservation UAV,Flight,30/3/2014 22:26,20000,22403,successful,213,
The Inventors Crop,Gadgets,25/12/2015 18:50,2500,10,failed,1,
Reusable WOOL ECO DRYER balls without chemicals,Technology,20/8/2015 18:04,6000,62,failed,3,
SellSafer,Software,27/2/2015 1:54,1200,1,failed,1,
Snotbot: Help fund critical whale research with drones.,Robots,26/8/2015 1:10,225000,229819.91,successful,1739,
BOT-LOGIC Hexapod with Arduino Powered 30 amp Robot Shield,Hardware,10/7/2013 17:25,10000,3508,failed,18,
Don't Die Phone Blocker,Apps,28/1/2016 1:08,10000,50,failed,2,
PlantSnap: The App that Identifies Plants in an Instant,Apps,22/8/2016 20:08,65000,2386,failed,117,
OH Christmas Trees,Web,1/6/2016 16:07,65000,1256,failed,18,
Persuasive Technologies,Technology,26/9/2015 13:05,38000,67,failed,1,
Free internet Radio,Web,21/1/2015 17:58,55000,0,failed,0,
No Scroll Email (Custom Timesaving Email Application),Software,3/9/2009 4:37,4500,110,failed,4,
Android navigation and settings page tools,Software,14/6/2014 10:00,500,10,failed,1,
Voice Kite: Photo & Voice Legacy Preservation System,Software,13/12/2014 0:36,10000,11018,successful,154,
"Easy Battery, Hardware, Accessory Repair and Recycle Service",Technology,31/5/2015 18:46,10000,0,failed,0,
Cigar Throttle: Smoke a Cigar While Riding Your Motorcycle.,Gadgets,10/9/2014 18:43,13000,925,failed,13,
YOUMO - Your Smart Modular Power Strip,Hardware,3/4/2016 14:01,50000,177412.01,successful,1945,
3D Print - N - Pack,3D Printing,23/12/2014 2:55,30000,1163,failed,10,
CareerBook- Connecting Veterans With Top Employers And More,Software,18/10/2015 13:07,250000,1,failed,1,
Thunderdogs High School Robotics Team,Robots,9/1/2016 16:57,5000,199,failed,10,
myWorkTime Pro,Apps,7/11/2014 7:25,7500,630,failed,10,
Alsipian Reef Controller (ARC),Hardware,1/2/2015 2:00,7500,250,failed,3,
MODLINK - All-In-One multi-shield UNO based board,DIY Electronics,6/1/2015 16:12,3000,5064,successful,23,
workbike...the bike that works for you,Technology,15/6/2015 6:29,800000,60,failed,1,
Dating application,Web,2/5/2015 1:26,7000,0,failed,0,
Bring Back Hazmat Hero,Apps,8/1/2016 19:06,100000,77,failed,5,
MylaBox - A starting point for hardware projects,Hardware,15/11/2013 5:23,5000,686,failed,9,
Romeda: image processing on the cloud (Canceled),Web,3/8/2014 0:04,10000,12,canceled,3,
Web Based Appointment Scheduling Made Easy,Software,2/4/2015 0:20,10000,0,failed,0,
The Inspector Magnet,Technology,6/9/2015 13:22,50000,10,failed,1,
Screwing Reinvented: The World's Best Deck Screw,Technology,31/10/2013 4:59,100000,109926.5,successful,610,
WORLD'S 1st SELFIE CASE.,Gadgets,15/5/2015 18:18,500,21,failed,2,
Hobby Hand,3D Printing,12/2/2016 17:47,30000,7072,failed,55,
RABBITcharger: The inspired charger you've always needed.,Hardware,1/7/2016 3:00,35000,36587.72,successful,393,
Moanoir,Apps,5/3/2015 13:48,1000,1,failed,1,
#IMissHashtagsAlready,Software,5/8/2014 5:59,25,0,failed,0,
Interstellar spacecraft,Space Exploration,20/2/2016 0:40,111100,78,failed,11,
Vino Veritas The Perfect Tool to Quality Wine & Experiences,Apps,10/1/2017 4:01,50000,3807,live,94,
Bring Slackbot to Life with Slackbot Bot!,Robots,26/2/2015 23:33,150000,760,failed,27,
Raspberry Pi IoT Shield Family | Power to The Shields!,Hardware,17/12/2016 14:22,50000,52747,live,546,
The Gates of Kintara - A Published Childrens Book AND App,Apps,1/8/2016 17:00,70000,110,canceled,2,
Tactile Keyboard For Your Android Smartphone,Gadgets,28/6/2016 18:26,20000,19136.75,failed,81,
Super Simple Arduino Load Driver V2.0. Now control Polarity!,Technology,11/8/2015 17:59,3500,1607,failed,45,
Hybrid Waterfall-Agile Scrum Planning,Web,6/9/2014 21:15,13000,955,failed,13,
The Ultimate Air Cooled Race Engine,Technology,3/3/2014 18:13,40000,165,failed,3,
Máquina de café (Suspended),Makerspaces,23/8/2015 17:22,1000,0,suspended,0,
Social-Hub,Apps,2/2/2015 22:05,195000,51,failed,3,
gitdrop,Software,25/7/2013 14:20,17500,271,failed,9,
I'm Back. Raspberry Pi unique Case for your Analog Cameras,Camera Equipment,3/10/2016 22:27,2000,6367,successful,105,
Marshmallow Mavericks,Robots,5/1/2015 3:46,4300,287,failed,5,
